Seq,LatencyUs
2,34.213
3,49.319
4,24.693
5,40.091
6,28.323
7,37.631
8,28.461
9,32.245
10,29.717
11,31.066
12,24.922
13,29.156
14,25.18
15,29.766
16,29.458
17,27.377
18,23.036
19,31.044
20,23.666
21,29.547
22,23.107
23,31.839
24,23.983
25,30.546
26,24.743
27,28.841
28,23.409
29,28.896
30,25.222
31,29.737
32,24.921
33,29.374
34,23.034
35,32.136
36,24.34
37,30.257
38,25.554
39,29.22
40,23.621
41,29.027
42,24.936
43,29.501
44,24.923
45,29.141
46,32.045
47,30.725
48,25.749
49,29.637
50,24.973
51,29.182
52,23.101
53,31.678
54,24.727
55,30.3
56,25.652
57,28.721
58,23.366
59,29.036
60,24.855
61,29.383
62,24.598
63,29.312
64,23.192
65,30.986
66,24.681
67,29.918
68,25.712
69,27.807
70,26
71,27.828
72,25.53
73,28.695
74,24.56
75,34.528
76,31.963
77,29.438
78,26.476
79,29.636
80,25.137
81,28.676
82,22.957
83,30.936
84,24.497
85,30.397
86,25.194
87,28.717
88,23.174
89,28.765
90,24.778
91,29.134
92,24.708
93,28.806
94,22.969
95,30.807
96,24.32
97,29.937
98,25.678
99,27.837
100,24.713
101,27.773
102,25.475
103,29.068
104,24.52
105,28.934
106,27.101
107,33.564
108,25.335
109,29.67
110,24.971
111,28.817
112,23.248
113,30.69
114,24.429
115,30.013
116,25.312
117,28.666
118,23.328
119,28.564
120,24.333
121,32.29
122,26.595
123,29.536
124,24.139
125,31.98
126,24.189
127,30.353
128,26.166
129,35.701
130,26.438
131,31.113
132,26.072
133,31.75
134,24.355
135,30.866
136,43.559
137,32.934
138,27.039
139,30.559
140,24.843
141,29.983
142,25.37
143,29.665
144,26.116
145,29.885
146,24.659
147,29.664
148,25.377
149,29.845
150,25.776
151,31.245
152,24.609
153,29.842
154,25.474
155,29.804
156,24.675
157,30.186
158,25.448
159,29.856
160,25.356
161,29.834
162,24.449
163,30.812
164,24.46
165,29.599
166,27.7
167,31.388
168,24.621
169,30.747
170,24.517
171,29.952
172,25.147
173,29.762
174,24.34
175,29.582
176,25.466
177,29.75
178,24.546
179,29.837
180,24.609
